Filename,Original,Translate
trad_divina_commedia_inferno_3_5.csv,cignesi con la coda tante volte,poi si arrotola la coda intorno a se stesso per contare
trad_divina_commedia_inferno_3_5.csv,quantunque gradi vuol che gi  sia messa.,Quanti cerchi nell anima devono andare.
trad_divina_commedia_inferno_3_5.csv,Sempre dinanzi a lui ne stanno molte ,"Sempre davanti a lui c   una folla di loro,"
trad_divina_commedia_inferno_3_5.csv,"vanno a vicenda ciascuna al giudizio,",andando a giudicare ciascuno a sua volta.
trad_divina_commedia_inferno_3_5.csv,dicono e odono e poi son gi  volte.,"Dicono, sentono, e poi vengono buttati giu ."
trad_divina_commedia_inferno_3_5.csv," O tu che vieni al doloroso ospizio ,","O voi che venite in questa dimora di dolore,"
trad_divina_commedia_inferno_3_5.csv,"disse Min s a me quando mi vide,","Ha detto Minos quando mi ha visto, facendo la pausa."
trad_divina_commedia_inferno_3_5.csv,"lasciando l atto di cotanto offizio,","nell esercizio del suo alto incarico,"
trad_divina_commedia_inferno_3_5.csv, guarda com entri e di cui tu ti fide , Guarda come entri e con chi hai fiducia. 
trad_divina_commedia_inferno_3_5.csv,non t inganni l ampiezza de l intrare! .,Non farti ingannare dall entrata facile.
trad_divina_commedia_inferno_3_5.csv,E  l duca mio a lui   Perch  pur gride?,E il mio capo a lui   Perch  tutte queste urla?
trad_divina_commedia_inferno_3_5.csv,Non impedir lo suo fatale andare ,Non rovinare il suo viaggio.
trad_divina_commedia_inferno_3_5.csv,vuolsi cos  col  dove si puote,"  cos  voluta dove la volont  e il potere sono uno,"
trad_divina_commedia_inferno_3_5.csv,"ci  che si vuole, e pi  non dimandare .",e non chiedere altro. 
trad_divina_commedia_inferno_3_5.csv,Or incomincian le dolenti note,Ora sento le urla.
trad_divina_commedia_inferno_3_5.csv,a farmisi sentire  or son venuto,di agonia. Ora sono venuto
trad_divina_commedia_inferno_3_5.csv,l  dove molto pianto mi percuote.,dove un grande lamento mi batte.
trad_divina_commedia_inferno_3_5.csv,"Io venni in loco d ogne luce muto,","Raggiunsi un luogo muto di ogni luce,"
trad_divina_commedia_inferno_3_5.csv,"che mugghia come fa mar per tempesta,",che soffia come il mare nella tempesta
trad_divina_commedia_inferno_3_5.csv,se da contrari venti   combattuto.,Lanciato da venti contrastanti.
trad_divina_commedia_inferno_3_5.csv,"La bufera infernal, che mai non resta,","Lo squallore infernale, che non riposa mai,"
trad_divina_commedia_inferno_3_5.csv,mena li spirti con la sua rapina ,"spazza gli spiriti nella sua corsa headlong,"
trad_divina_commedia_inferno_3_5.csv,voltando e percotendo li molesta.,"tormentoso, vorticoso e li colpisce."
trad_divina_commedia_inferno_3_5.csv,"Quando giungon davanti a la ruina,","Colto in quel sentiero di violenza,"
trad_divina_commedia_inferno_3_5.csv,"quivi le strida, il compianto, il lamento ","gridano, piangono e si lamentano."
trad_divina_commedia_inferno_3_5.csv,bestemmian quivi la virt  divina.,Allora come maledicono il potere di Dio!
trad_divina_commedia_inferno_3_5.csv,Intesi ch a cos  fatto tormento,Ho capito che a tale tormento
trad_divina_commedia_inferno_3_5.csv,"enno dannati i peccator carnali,","i peccatori carnali sono condannati,"
trad_divina_commedia_inferno_3_5.csv,che la ragion sommettono al talento.,coloro che rendono la ragione soggetta al desiderio.
trad_divina_commedia_inferno_3_5.csv,E come li stornei ne portan l ali,"Come, con il freddo, le ali degli svergognati"
trad_divina_commedia_inferno_3_5.csv,"nel freddo tempo, a schiera larga e piena,","portarli su in grandi e densi greggi,"
trad_divina_commedia_inferno_3_5.csv,cos  quel fiato li spiriti mali,cos  l esplosione spinge gli spiriti malvagi.
trad_divina_commedia_inferno_3_5.csv,"di qua, di l , di gi , di s  li mena ","Qui e l , gi  e su, li guida."
trad_divina_commedia_inferno_3_5.csv,"nulla speranza li conforta mai,",Non sono mai confortati dalla speranza
trad_divina_commedia_inferno_3_5.csv,"non che di posa, ma di minor pena.",di riposo o anche meno punizione.
trad_divina_commedia_inferno_3_5.csv,"E come i gru van cantando lor lai,","Proprio come le gru cantano le loro canzoni tristi,"
trad_divina_commedia_inferno_3_5.csv,"faccendo in aere di s  lunga riga,","fare una lunga fila nell aria,"
trad_divina_commedia_inferno_3_5.csv,"cos  vid io venir, traendo guai,","cos  vidi avvicinarsi, sospirando sospirando,"
trad_divina_commedia_inferno_3_5.csv,ombre portate da la detta briga ,"ombre sollevate su quella turbolenza,"
trad_divina_commedia_inferno_3_5.csv,"per ch i  dissi   Maestro, chi son quelle","e dissi   Maestro, chi sono questi"
trad_divina_commedia_inferno_3_5.csv,genti che l aura nera s  gastiga? .,chi ciglia l aria nera? 
trad_divina_commedia_inferno_3_5.csv, La prima di color di cui novelle, Il primo di loro su chi
trad_divina_commedia_inferno_3_5.csv,"tu vuo  saper , mi disse quelli allotta,","tu avresti sentito,   rispose allora,"
trad_divina_commedia_inferno_3_5.csv, fu imperadrice di molte favelle.,E  stata un imperatrice su molte lingue.
trad_divina_commedia_inferno_3_5.csv,"A vizio di lussuria fu s  rotta,", Lei   stato dato cos  al vizio della lecchezza
trad_divina_commedia_inferno_3_5.csv,"che libito f  licito in sua legge,",Ha fatto lussuria lecita nella sua legge
trad_divina_commedia_inferno_3_5.csv,per t rre il biasmo in che era condotta.,per togliere la colpa che aveva avuto.
trad_divina_commedia_inferno_3_5.csv,"Ell    Semiram s, di cui si legge","Lei   Semiramis, di cui leggiamo"
trad_divina_commedia_inferno_3_5.csv,che succedette a Nino e fu sua sposa ,"che lei, una volta la moglie di Ninus, gli succedette."
trad_divina_commedia_inferno_3_5.csv,tenne la terra che  l Soldan corregge.,"Ha tenuto l influenza sulla terra, le regole del Sultano."
trad_divina_commedia_inferno_3_5.csv,"L altra   colei che s ancise amorosa,",Eccola che ha infranto la fede con le ceneri.
trad_divina_commedia_inferno_3_5.csv,e ruppe fede al cener di Sicheo ,di Sicheo e si uccise per amore.
trad_divina_commedia_inferno_3_5.csv,poi   Cleopatr s lussur osa.,Il prossimo   Cleopatra.
trad_divina_commedia_inferno_3_5.csv,"Elena vedi, per cui tanto reo"," Vedi Helen, per il cui amore tanti anni"
trad_divina_commedia_inferno_3_5.csv,"tempo si volse, e vedi  l grande Achille,","e vedere i grandi Achille,"
trad_divina_commedia_inferno_3_5.csv,che con amore al fine combatteo.,"che ha combattuto, alla fine, con amore."
trad_divina_commedia_inferno_3_5.csv,"Vedi Par s, Tristano   e pi  di mille"," Vedi Parigi, Tristan,  e mi ha mostrato di pi "
trad_divina_commedia_inferno_3_5.csv,"ombre mostrommi e nominommi a dito,","che mille ombre, chiamando come aveva indicato,"
trad_divina_commedia_inferno_3_5.csv,ch amor di nostra vita dipartille.,che l amore si era separato dalla nostra vita.
trad_divina_commedia_inferno_3_5.csv,Poscia ch io ebbi  l mio dottore udito,Quando ho sentito il mio insegnante chiamare le signore
trad_divina_commedia_inferno_3_5.csv,"nomar le donne antiche e  cavalieri,",e i cavalieri dell antica piet  mi sopraffassero
trad_divina_commedia_inferno_3_5.csv,"piet  mi giunse, e fui quasi smarrito.",E ho quasi perso il senno.
trad_divina_commedia_inferno_3_5.csv,"I  cominciai   Poeta, volontieri","Ho cominciato   Poeta, volentieri vorrei parlare"
trad_divina_commedia_inferno_3_5.csv,"parlerei a quei due che  nsieme vanno,",con questi due che si muovono insieme
trad_divina_commedia_inferno_3_5.csv,e paion s  al vento esser leggeri .,e sembrano essere cos  luce sul vento. 
trad_divina_commedia_inferno_3_5.csv,Ed elli a me   Vedrai quando saranno,"Ed egli   Una volta che saranno pi  vicini, vedrete "
trad_divina_commedia_inferno_3_5.csv,pi  presso a noi  e tu allor li priega,se li supplichi con l amore
trad_divina_commedia_inferno_3_5.csv,"per quello amor che i mena, ed ei verranno .","che li conduce, verranno. "
trad_divina_commedia_inferno_3_5.csv,"S  tosto come il vento a noi li piega,","Non appena il vento li ha piegati verso di noi,"
trad_divina_commedia_inferno_3_5.csv,"mossi la voce   O anime affannate,","Ho alzato la voce   O anime stanche,"
trad_divina_commedia_inferno_3_5.csv,"venite a noi parlar, s altri nol niega! .","se non   proibito, vieni a parlare con noi. "
trad_divina_commedia_inferno_3_5.csv,Quali colombe dal disio chiamate,"Come colombe, convocate dal desiderio, le loro ali"
trad_divina_commedia_inferno_3_5.csv,con l ali alzate e ferme al dolce nido,"teso e immobile, muoversi in aria,"
trad_divina_commedia_inferno_3_5.csv,"vegnon per l aere, dal voler portate ","sopportato dalla loro volont  al nido dolce,"
trad_divina_commedia_inferno_3_5.csv,"cotali uscir de la schiera ov   Dido,","cos  hanno lasciato la truppa dove si trova Dido,"
trad_divina_commedia_inferno_3_5.csv,"a noi venendo per l aere maligno,","venire da noi attraverso l aria maligna,"
trad_divina_commedia_inferno_3_5.csv,s  forte fu l affett oso grido.,tale forza ha avuto la mia affettuosa chiamata.
trad_divina_commedia_inferno_3_5.csv, O animal graz oso e benigno," O creatura vivente, gentile e gentile,"
trad_divina_commedia_inferno_3_5.csv,che visitando vai per l aere perso,che arrivano attraverso l aria cupa per venirci a trovare
trad_divina_commedia_inferno_3_5.csv,"noi che tignemmo il mondo di sanguigno,","che ha macchiato il mondo di sangue,"
trad_divina_commedia_inferno_3_5.csv,"se fosse amico il re de l universo,",Se il Re dell universo fosse nostro amico
trad_divina_commedia_inferno_3_5.csv,"noi pregheremmo lui de la tua pace,","preghiamo perch  Egli vi dia la pace,"
trad_divina_commedia_inferno_3_5.csv,poi c hai piet  del nostro mal perverso.,Visto che hai mostrato pieta  per la nostra grave situazione.
trad_divina_commedia_inferno_3_5.csv,"Di quel che udire e che parlar vi piace,", Abbiamo voglia di sentire e parlare di questo
trad_divina_commedia_inferno_3_5.csv,"noi udiremo e parleremo a voi,","che tu desideri parlare e conoscere,"
trad_divina_commedia_inferno_3_5.csv,"mentre che  l vento, come fa, ci tace.","qui, mentre il vento si   calmato."
trad_divina_commedia_inferno_3_5.csv,Siede la terra dove nata fui, Sulla riva dove il fiume Po
trad_divina_commedia_inferno_3_5.csv,su la marina dove  l Po discende,con tutti i suoi affluenti rallenta
trad_divina_commedia_inferno_3_5.csv,per aver pace co  seguaci sui.,"a flusso pacifico, l  sono nato."
trad_divina_commedia_inferno_3_5.csv,"Amor, ch al cor gentil ratto s apprende,","Amore, veloce ad accendere nel cuore gentile,"
trad_divina_commedia_inferno_3_5.csv,prese costui de la bella persona,ha preso quest uomo con la forma giusta presa da me.
trad_divina_commedia_inferno_3_5.csv,che mi fu tolta  e  l modo ancor m offende.,Il modo in cui mi affligge ancora.
trad_divina_commedia_inferno_3_5.csv,"Amor, ch a nullo amato amar perdona,"," Amore, che non assolve nessuno amato dall amore,"
trad_divina_commedia_inferno_3_5.csv,"mi prese del costui piacer s  forte,","mi colse cos  forte con il suo fascino che,"
trad_divina_commedia_inferno_3_5.csv,"che, come vedi, ancor non m abbandona.","Come vedete, non mi ha ancora lasciato."
trad_divina_commedia_inferno_3_5.csv,Amor condusse noi ad una morte.,L amore ci ha portati a una sola morte.
trad_divina_commedia_inferno_3_5.csv,Caina attende chi a vita ci spense .,Ca na aspetta colui che ha spezzato le nostre vite. 
trad_divina_commedia_inferno_3_5.csv,Queste parole da lor ci fuor porte.,Queste parole sono state portate da loro a noi.
trad_divina_commedia_inferno_3_5.csv,"Quand io intesi quell anime offense,",E quando ho sentito quelle due anime afflitti
trad_divina_commedia_inferno_3_5.csv,"china  il viso, e tanto il tenni basso,",Ho inchinato la testa e l ho tenuta bassa fino alla fine.
trad_divina_commedia_inferno_3_5.csv,fin che  l poeta mi disse   Che pense? .,il poeta disse   Quali sono i tuoi pensieri?. 
trad_divina_commedia_inferno_3_5.csv,"Quando rispuosi, cominciai   Oh lasso,","In risposta ho risposto   Oh,"
trad_divina_commedia_inferno_3_5.csv,"quanti dolci pensier, quanto disio","quanti dolci pensieri, quale grande desiderio,"
trad_divina_commedia_inferno_3_5.csv,men  costoro al doloroso passo! .,li hanno portati a questo passo doloroso!. 
trad_divina_commedia_inferno_3_5.csv,"Poi mi rivolsi a loro e parla  io,",Poi mi sono rivolto di nuovo a loro per parlare
trad_divina_commedia_inferno_3_5.csv,"e cominciai   Francesca, i tuoi mart ri","e cominciai   Francesca, i tuoi tormenti"
trad_divina_commedia_inferno_3_5.csv,a lagrimar mi fanno tristo e pio.,"fammi piangere per il dolore e la piet ,"
trad_divina_commedia_inferno_3_5.csv,"Ma dimmi  al tempo d i dolci sospiri,"," ma dimmi, in quella stagione di sospiri dolci,"
trad_divina_commedia_inferno_3_5.csv,a che e come concedette amore,come e con quali segni ha amato
trad_divina_commedia_inferno_3_5.csv,che conosceste i dubbiosi disiri? .,vi conoscete con i vostri desideri esitanti?  
trad_divina_commedia_inferno_3_5.csv,E quella a me   Nessun maggior dolore,E lei a me   Non c   dolore pi  grande
trad_divina_commedia_inferno_3_5.csv,che ricordarsi del tempo felice,che per ricordare il nostro tempo di gioia
trad_divina_commedia_inferno_3_5.csv,ne la miseria  e ci  sa  l tuo dottore.,e questo lo sa il tuo maestro.
trad_divina_commedia_inferno_3_5.csv,Ma s a conoscer la prima radice,Ma se ti senti cosi  bramoso...
trad_divina_commedia_inferno_3_5.csv,"del nostro amor tu hai cotanto affetto,","conoscere la prima radice del nostro amore,"
trad_divina_commedia_inferno_3_5.csv,dir  come colui che piange e dice.,Lo diro  come uno che piange nel raccontarlo.
trad_divina_commedia_inferno_3_5.csv,Noi leggiavamo un giorno per diletto,"Un giorno, per passare il tempo nel piacere,"
trad_divina_commedia_inferno_3_5.csv,di Lancialotto come amor lo strinse ,"Abbiamo letto di Lancillotto, come l amore lo ha affascinato."
trad_divina_commedia_inferno_3_5.csv,soli eravamo e sanza alcun sospetto.,"Eravamo soli, senza il minimo equivoco."
trad_divina_commedia_inferno_3_5.csv,Per pi  f ate li occhi ci sospinse, Pi  di una volta che la lettura ci ha fatto incontrare gli occhi
trad_divina_commedia_inferno_3_5.csv,"quella lettura, e scolorocci il viso ",e ha prosciugato il colore dalle nostre facce.
trad_divina_commedia_inferno_3_5.csv,ma solo un punto fu quel che ci vinse.,"Eppure,   stato un solo istante che ci ha sopraffatti "
trad_divina_commedia_inferno_3_5.csv,Quando leggemmo il dis ato riso, Quando leggiamo come il desiderio di sorridere
trad_divina_commedia_inferno_3_5.csv,"esser basciato da cotanto amante,","  stato baciato da un amante cos  rinomato, quest uomo,"
trad_divina_commedia_inferno_3_5.csv,"questi, che mai da me non fia diviso,","che non sar  mai separato da me,"
trad_divina_commedia_inferno_3_5.csv,la bocca mi basci  tutto tremante.,"Tutti tremavano, mi baciavano sulla bocca."
trad_divina_commedia_inferno_3_6.csv,"Al tornar de la mente, che si chiuse",Con i miei sensi di ritorno che avevano fallito
trad_divina_commedia_inferno_3_6.csv,"dinanzi a la piet  d i due cognati,","prima dello stato pietoso di quei due kinfolk,"
trad_divina_commedia_inferno_3_6.csv,"che di trestizia tutto mi confuse,","che mi aveva confuso con dolore,"
trad_divina_commedia_inferno_3_6.csv,novi tormenti e novi tormentati,nuovi tormenti e nuove anime nel tormento
trad_divina_commedia_inferno_3_6.csv,"mi veggio intorno, come ch io mi mova","Vedo di me, ovunque io possa muovermi,"
trad_divina_commedia_inferno_3_6.csv,"e ch io mi volga, e come che io guati.","o voltati, o fissa il mio sguardo."
trad_divina_commedia_inferno_3_6.csv,"Io sono al terzo cerchio, de la piova","Io sono nella terza cerchia, di eterno,"
trad_divina_commedia_inferno_3_6.csv,"etterna, maladetta, fredda e greve ","pioggia odiosa, freddo e piombo,"
trad_divina_commedia_inferno_3_6.csv,regola e qualit  mai non l   nova.,immutabile nella sua monotonia.
trad_divina_commedia_inferno_3_6.csv,"Grandine grossa, acqua tinta e neve","Grandine pesanti, acqua sporca e neve"
trad_divina_commedia_inferno_3_6.csv,per l aere tenebroso si riversa ,Versate nell aria cupa.
trad_divina_commedia_inferno_3_6.csv,pute la terra che questo riceve.,Il terreno che cade su puzza.
trad_divina_commedia_inferno_3_6.csv,"Cerbero, fiera crudele e diversa,","Cerbero, bestia feroce e mostruosa,"
trad_divina_commedia_inferno_3_6.csv,con tre gole caninamente latra,abbaia da tre triglie come un cane
trad_divina_commedia_inferno_3_6.csv,sovra la gente che quivi   sommersa.,sopra le persone sotto quel fango.
trad_divina_commedia_inferno_3_6.csv,"Li occhi ha vermigli, la barba unta e atra,","Ha gli occhi rossi, la barba unta nera,"
trad_divina_commedia_inferno_3_6.csv,"e  l ventre largo, e unghiate le mani ",la pancia gonfia. Con le mani intasate
trad_divina_commedia_inferno_3_6.csv,graffia li spirti ed iscoia ed isquatra.,"Egli artigli gli spiriti, frusta e li alloggia."
trad_divina_commedia_inferno_3_6.csv,Urlar li fa la pioggia come cani ,La pioggia li fa urlare come cani.
trad_divina_commedia_inferno_3_6.csv,de l un de  lati fanno a l altro schermo ,"I miseri empi girano spesso i loro corpi,"
trad_divina_commedia_inferno_3_6.csv,volgonsi spesso i miseri profani.,fare di un lato uno scudo per l altro.
trad_divina_commedia_inferno_3_6.csv,"Quando ci scorse Cerbero, il gran vermo,",Quando Cerbero... quel grande verme... ci ha notati...
trad_divina_commedia_inferno_3_6.csv,le bocche aperse e mostrocci le sanne ,Ha aperto le mascelle e ha mostrato le zanne.
trad_divina_commedia_inferno_3_6.csv,non avea membro che tenesse fermo.,Non c era parte di lui che teneva sotto controllo.
trad_divina_commedia_inferno_3_6.csv,"E  l duca mio distese le sue spanne,","Ma poi il mio capo ha aperto le mani,"
trad_divina_commedia_inferno_3_6.csv,"prese la terra, e con piene le pugna","raccolto un po  di terra, e con pugni pieni"
trad_divina_commedia_inferno_3_6.csv,la gitt  dentro a le bramose canne.,ha gettato il terreno nei gugli venosi.
trad_divina_commedia_inferno_3_6.csv,"Qual   quel cane ch abbaiando agogna,",Come il cane che urla con desiderio
trad_divina_commedia_inferno_3_6.csv,"e si racqueta poi che  l pasto morde,","cresce tranquillo mentre mastica il suo cibo,"
trad_divina_commedia_inferno_3_6.csv,"ch  solo a divorarlo intende e pugna,","assorbito nel tentativo di divorarlo,"
trad_divina_commedia_inferno_3_6.csv,cotai si fecer quelle facce lorde,"le teste sporche di quel demone Cerbero furono immobilizzate,"
trad_divina_commedia_inferno_3_6.csv,"de lo demonio Cerbero, che  ntrona",che altrimenti assalisce le orecchie delle anime
trad_divina_commedia_inferno_3_6.csv,"l anime s , ch esser vorrebber sorde.","Cosi  tanto che sarebbero stati sordi, al piu  presto."
trad_divina_commedia_inferno_3_6.csv,Noi passavam su per l ombre che adona,Stavamo passando sopra le ombre distese
trad_divina_commedia_inferno_3_6.csv,"la greve pioggia, e ponavam le piante","sotto la pioggia pesante, regolando le nostre suole"
trad_divina_commedia_inferno_3_6.csv,sovra lor vanit  che par persona.,"sulla loro vacuit , che sembra corpi reali."
trad_divina_commedia_inferno_3_6.csv,"Elle giacean per terra tutte quante,","Tutti sdraiati per terra,"
trad_divina_commedia_inferno_3_6.csv,"fuor d una ch a seder si lev , ratto",eccetto colui che si   seduto il bullone in posizione verticale
trad_divina_commedia_inferno_3_6.csv,ch ella ci vide passarsi davante.,quando ci vide passare davanti a lui.
trad_divina_commedia_inferno_3_6.csv," O tu che se  per questo  nferno tratto ,","O voi che venite scortati attraverso questo Inferno,"
trad_divina_commedia_inferno_3_6.csv,"mi disse,  riconoscimi, se sai ","Ha detto   Se puoi, riportami in mente. "
trad_divina_commedia_inferno_3_6.csv,"tu fosti, prima ch io disfatto, fatto .",Sei stato creato prima che io fossi sciolto.
trad_divina_commedia_inferno_3_6.csv,E io a lui   L angoscia che tu hai,E io a lui   Il castigo che soffrirete
trad_divina_commedia_inferno_3_6.csv,"forse ti tira fuor de la mia mente,",pu  essere blotting voi dalla memoria 
trad_divina_commedia_inferno_3_6.csv,s  che non par ch i  ti vedessi mai.,Non mi sembra di averti mai visto.
trad_divina_commedia_inferno_3_6.csv,Ma dimmi chi tu se  che  n s  dolente,Ma dimmi chi sei per essere stato messo
trad_divina_commedia_inferno_3_6.csv,"loco se  messo, e hai s  fatta pena,",in questa miseria con una tale pena
trad_divina_commedia_inferno_3_6.csv,"che, s altra   maggio, nulla   s  spiacente .","che nessuno, anche se pi  duro,   pi  ripugnante. "
trad_divina_commedia_inferno_3_6.csv,"Ed elli a me   La tua citt , ch   piena","Ed egli a me   La tua citt , cos  piena di invidia"
trad_divina_commedia_inferno_3_6.csv,"d invidia s  che gi  trabocca il sacco,","che ora il sacco si rovescia,"
trad_divina_commedia_inferno_3_6.csv,seco mi tenne in la vita serena.,mi tenne nei suoi confini nella vita illuminata dal sole.
trad_divina_commedia_inferno_3_6.csv,Voi cittadini mi chiamaste Ciacco ,"Voi, i miei cittadini, mi chiamavate Ciacco."
trad_divina_commedia_inferno_3_6.csv,"per la dannosa colpa de la gola,","Per la perniciosa colpa della gola,"
trad_divina_commedia_inferno_3_6.csv,"come tu vedi, a la pioggia mi fiacco.","Come puoi vedere, sono prostrato sotto questa pioggia."
trad_divina_commedia_inferno_3_6.csv,"E io anima trista non son sola,",E nella mia miseria non sono solo.
trad_divina_commedia_inferno_3_6.csv,ch  tutte queste a simil pena stanno,Tutti quanti qui condividono una sola pena
trad_divina_commedia_inferno_3_6.csv,per simil colpa . E pi  non f  parola.,per la stessa colpa.  Non ha detto altro.
trad_divina_commedia_inferno_3_6.csv,"Io li rispuosi   Ciacco, il tuo affanno","Gli risposi   Ciacco, la tua angoscia pesa cos  tanto"
trad_divina_commedia_inferno_3_6.csv,"mi pesa s , ch a lagrimar mi  nvita ","su di me mi chiede di piangere. Ma dimmi,"
trad_divina_commedia_inferno_3_6.csv,"ma dimmi, se tu sai, a che verranno","se puoi, quale sar  il destino"
trad_divina_commedia_inferno_3_6.csv,li cittadin de la citt  partita , dei cittadini all interno della citt  di Riven.
trad_divina_commedia_inferno_3_6.csv,s alcun v   giusto  e dimmi la cagione,E mi dica perche ...
trad_divina_commedia_inferno_3_6.csv,per che l ha tanta discordia assalita .,tale discordia l ha assalita. 
trad_divina_commedia_inferno_3_6.csv,E quelli a me   Dopo lunga tencione,E lui a me   Dopo lunga faida
trad_divina_commedia_inferno_3_6.csv,"verranno al sangue, e la parte selvaggia","Verranno a sangue. La fazione rustica,"
trad_divina_commedia_inferno_3_6.csv,caccer  l altra con molta offensione.,"dopo aver fatto un gran male, scaccer  gli altri."
trad_divina_commedia_inferno_3_6.csv,Poi appresso convien che questa caggia," Ma a sua volta cade a loro,"
trad_divina_commedia_inferno_3_6.csv,"infra tre soli, e che l altra sormonti","entro tre anni, per potere di lui"
trad_divina_commedia_inferno_3_6.csv,con la forza di tal che test  piaggia.,che ora gioca solo per il tempo.
trad_divina_commedia_inferno_3_6.csv,"Alte terr  lungo tempo le fronti,", Questi nella loro arroganza sar  a lungo soggetto
trad_divina_commedia_inferno_3_6.csv,"tenendo l altra sotto gravi pesi,","l altra fazione al loro giogo pesante,"
trad_divina_commedia_inferno_3_6.csv,come che di ci  pianga o che n aonti.,nonostante il suo pianto e la sua vergogna.
trad_divina_commedia_inferno_3_6.csv,"Giusti son due, e non vi sono intesi ",Due uomini sono giusti e non sono ascoltati.
trad_divina_commedia_inferno_3_6.csv,"superbia, invidia e avarizia sono","Orgoglio, invidia e avarizia sono le scintille"
trad_divina_commedia_inferno_3_6.csv,le tre faville c hanno i cuori accesi .,che hanno dato fuoco ai cuori di tutti. 
trad_divina_commedia_inferno_3_6.csv,Qui puose fine al lagrimabil suono.,Con questo ha finito le sue parole angoscianti.
trad_divina_commedia_inferno_3_6.csv,E io a lui   Ancor vo  che mi  nsegni,"E io a lui   Vorrei che mi istruiste di pi ,"
trad_divina_commedia_inferno_3_6.csv,e che di pi  parlar mi facci dono.,mi concede il dono di un ulteriore discorso.
trad_divina_commedia_inferno_3_6.csv,"Farinata e  l Tegghiaio, che fuor s  degni,"," Farinata e Teggiaio, che erano cos  degni,"
trad_divina_commedia_inferno_3_6.csv,"Iacopo Rusticucci, Arrigo e  l Mosca","Jacopo Rusticucci, Arrigo e Mosca,"
trad_divina_commedia_inferno_3_6.csv,"e li altri ch a ben far puoser li  ngegni,","e il resto le cui menti erano piegate a fare del bene,"
trad_divina_commedia_inferno_3_6.csv,dimmi ove sono e fa ch io li conosca ,Dimmi dove sono e come se la passano.
trad_divina_commedia_inferno_3_6.csv,ch  gran disio mi stringe di savere,Per il grande desiderio mi spinge ad imparare
trad_divina_commedia_inferno_3_6.csv,se  l ciel li addolcia o lo  nferno li attosca .,che il Cielo li addolcisca o che l Inferno li agghiaccia. 
trad_divina_commedia_inferno_3_6.csv,E quelli   Ei son tra l anime pi  nere ,E lui   Sono tra le anime pi  nere.
trad_divina_commedia_inferno_3_6.csv,diverse colpe gi  li grava al fondo ,"Diversi vizi li pesano verso il basso,"
trad_divina_commedia_inferno_3_6.csv,"se tanto scendi, l  i potrai vedere.",come vedrete se scendete fino a quel punto.
trad_divina_commedia_inferno_3_6.csv,"Ma quando tu sarai nel dolce mondo,",Ma quando sarai tornato nel dolce mondo...
trad_divina_commedia_inferno_3_6.csv,priegoti ch a la mente altrui mi rechi ,Prego che mi portiate nella memoria degli uomini.
trad_divina_commedia_inferno_3_6.csv,pi  non ti dico e pi  non ti rispondo .,Non dico altro e non ti rispondo pi . 
trad_divina_commedia_inferno_3_6.csv,Li diritti occhi torse allora in biechi ,Con questo i suoi occhi chiari hanno perso la loro concentrazione.
trad_divina_commedia_inferno_3_6.csv,guardommi un poco e poi chin  la testa ,Mi ha guardato finche  la sua testa non si e  abbassata.
trad_divina_commedia_inferno_3_6.csv,cadde con essa a par de li altri ciechi.,Poi cadde tra i suoi compagni ciechi.
trad_divina_commedia_inferno_3_6.csv,E  l duca disse a me   Pi  non si desta,E il mio capo mi disse   Non si sveglia pi 
trad_divina_commedia_inferno_3_6.csv,"di qua dal suon de l angelica tromba,",fino a quando suonano le trombe angeliche
trad_divina_commedia_inferno_3_6.csv,quando verr  la nimica podesta ,l avvento del Potere ostile.
trad_divina_commedia_inferno_3_6.csv,"ciascun riveder  la trista tomba,"," Allora ognuno ritrover  la sua miserabile tomba,"
trad_divina_commedia_inferno_3_6.csv,"ripiglier  sua carne e sua figura,","riprender  la sua carne e la sua forma,"
trad_divina_commedia_inferno_3_6.csv,udir  quel ch in etterno rimbomba .,e udite il giudizio che risuona eternamente. 
trad_divina_commedia_inferno_3_6.csv,S  trapassammo per sozza mistura,Cos  abbiamo passato attraverso il mix fallo
trad_divina_commedia_inferno_3_6.csv,"de l ombre e de la pioggia, a passi lenti,","di ombre e pioggia con gradini in ritardo,"
trad_divina_commedia_inferno_3_6.csv,toccando un poco la vita futura ,toccando un po  la vita futura.
trad_divina_commedia_inferno_3_6.csv,"per ch io dissi   Maestro, esti tormenti"," Maestro,  ho chiesto,  dopo il grande giudizio"
trad_divina_commedia_inferno_3_6.csv,"crescerann  ei dopo la gran sentenza,","questi tormenti saranno pi  grandi, meno,"
trad_divina_commedia_inferno_3_6.csv,"o fier minori, o saran s  cocenti? .",o rimarranno duri come adesso?. 
trad_divina_commedia_inferno_3_6.csv,"Ed elli a me   Ritorna a tua sc enza,","Ed egli rispose   Torna alla tua scienza,"
trad_divina_commedia_inferno_3_6.csv,"che vuol, quanto la cosa   pi  perfetta,","che ha che, in misura della perfezione di una cosa,"
trad_divina_commedia_inferno_3_6.csv,"pi  senta il bene, e cos  la doglienza.",e  piu  di piacere e di dolore.
trad_divina_commedia_inferno_3_6.csv,Tutto che questa gente maladetta, Anche se queste persone maledette
trad_divina_commedia_inferno_3_6.csv,"in vera perfezion gi  mai non vada,","non verr  mai alla vera perfezione,"
trad_divina_commedia_inferno_3_6.csv,di l  pi  che di qua essere aspetta .,saranno pi  vicini di quanto non lo siano ora. 
